Zone,PIB_2017,stabilite_politique_2017
Afghanistan,18753456497.8159,-2.7949755191803
Afrique du Sud,381448814653.456,-0.284803628921509
Albanie,13258268435.6048,0.373770743608475
Algérie,189880896903.073,-0.919614315032959
Allemagne,3765351626105.89,0.574381291866302
Angola,84376935689.3366,-0.387895494699478
Antigua-et-Barbuda,1534855555.55556,0.73206090927124
Arabie saoudite,741266133333.333,-0.649625718593597
Argentine,643628393281.364,0.162542164325714
Arménie,11527458709.0158,-0.626211166381836
Australie,1330890554614.09,0.87606406211853
Autriche,414926138132.691,1.02962481975555
Azerbaïdjan,40866627351.9817,-0.751901030540466
Bahamas,12446900000.0,0.976762533187866
Bangladesh,293732446624.596,-1.25362718105316
Barbade,5683150000.0,0.952525317668915
Belgique,500908767351.53,0.41760727763176
Belize,2266028250.0,0.0304041262716055
Bolivie (État plurinational de),45927439594.7902,-0.280110895633698
Bosnie-Herzégovine,18326373135.6099,-0.351469874382019
Botswana,16105155856.7708,1.00929582118988
Brésil,2063514688805.78,-0.479947566986084
Bulgarie,59167647387.606,0.321379661560059
Burkina Faso,14106955615.3442,-0.927885830402374
Bélarus,54725405751.1559,-0.0572087056934834
Bénin,12701655836.9467,0.026252493262291
Cambodge,29355665909.7905,0.0935096517205238
Cameroun,36098547033.1655,-1.09150505065918
Canada,1649265644244.09,1.08968114852905
Chili,276154259981.097,0.406281590461731
Chine - RAS de Hong-Kong,341273289534.466,
Chine - RAS de Macao,50297028370.6668,
"Chine, Taiwan Province de",,
"Chine, continentale",12537559062282.9,-0.232558101415634
Chypre,22946570628.7576,0.530974149703979
Colombie,311866875156.879,-0.779457807540894
Congo,11834473039.3645,-0.533614814281464
Costa Rica,60516044656.5206,0.597007215023041
Croatie,56182782585.9052,0.681905686855316
Cuba,96850649700.0,0.638511061668396
Côte d'Ivoire,52512343996.69,-1.09111630916595
Danemark,331610593961.988,0.854937553405762
Djibouti,2762581334.22612,-0.733945071697235
Dominique,563355555.555555,1.17277669906616
El Salvador,24979190000.0,-0.263820260763168
Espagne,1321754088818.83,0.270845949649811
Estonie,27469461919.1189,0.642370760440826
Eswatini,4462640651.49219,-0.27087739109993
Fidji,5353469174.47838,0.585380256175995
Finlande,253846138440.0,1.06380820274353
France,2588868323334.71,0.265701532363892
Fédération de Russie,1574199360089.0,-0.642759621143341
Gabon,14929487485.1623,-0.105890899896622
Gambie,1504909462.69521,-0.0948309376835823
Ghana,60385409434.8567,0.0820369869470596
Grenade,1125685185.18519,0.992375195026398
Grèce,200381103984.298,-0.0812440440058708
Guatemala,71653780740.4226,-0.651365458965302
Guinée,10324668271.1362,-0.699074149131775
Guinée-Bissau,1469978606.12143,-0.497683346271515
Guyana,4748174334.14044,-0.049440186470747
Géorgie,16473125375.0684,-0.375214755535126
Haïti,15093357161.1498,-0.676077306270599
Honduras,23136247990.5977,-0.565637111663818
Hongrie,143335098991.862,0.796200513839722
Inde,2651474262755.45,-0.774099111557007
Indonésie,1015618744159.73,-0.504938721656799
Iran (République islamique d'),510239893417.645,-0.933828890323639
